starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 17 09:31:06 2018	1537169466	1587	76	1662	75
Mon Sep 17 09:35:30 2018	1537169730	1564	99	1662	99
Mon Sep 17 09:36:06 2018	1537169766	793	870	1663	870
Mon Sep 17 09:32:58 2018	1537169578	1476	187	1663	183
Mon Sep 17 09:34:49 2018	1537169689	1604	59	1663	57
Mon Sep 17 09:35:40 2018	1537169740	1325	338	1663	334
Mon Sep 17 09:36:06 2018	1537169766	757	906	1663	905
Mon Sep 17 09:32:43 2018	1537169563	704	960	1663	958
Mon Sep 17 09:32:42 2018	1537169562	1546	117	1663	117
Mon Sep 17 09:35:01 2018	1537169701	697	966	1663	966
Mon Sep 17 09:32:43 2018	1537169563	690	973	1664	972
Mon Sep 17 09:35:01 2018	1537169701	697	967	1664	966
Mon Sep 17 09:31:06 2018	1537169466	1586	77	1664	77
Mon Sep 17 09:35:15 2018	1537169715	1148	516	1664	514
Mon Sep 17 09:32:43 2018	1537169563	739	925	1664	922
Mon Sep 17 09:34:49 2018	1537169689	1605	59	1664	57
Mon Sep 17 09:36:06 2018	1537169766	758	906	1664	906
Mon Sep 17 09:36:14 2018	1537169774	899	765	1664	701
Mon Sep 17 09:36:14 2018	1537169774	899	765	1664	701
Mon Sep 17 09:35:01 2018	1537169701	673	991	1664	990
Mon Sep 17 09:35:01 2018	1537169701	673	991	1664	990
Mon Sep 17 09:36:14 2018	1537169774	899	766	1664	701
Mon Sep 17 09:36:14 2018	1537169774	899	765	1665	701
Mon Sep 17 09:35:01 2018	1537169701	730	934	1665	933
Mon Sep 17 09:35:01 2018	1537169701	718	947	1665	946
Mon Sep 17 09:35:01 2018	1537169701	718	947	1665	946
Mon Sep 17 09:34:40 2018	1537169680	1451	214	1665	213
Mon Sep 17 09:36:14 2018	1537169774	859	806	1665	741
Mon Sep 17 09:35:01 2018	1537169701	718	947	1665	946
Mon Sep 17 09:31:52 2018	1537169512	998	667	1665	666
Mon Sep 17 09:35:30 2018	1537169730	1564	102	1666	100
Mon Sep 17 09:36:14 2018	1537169774	1482	183	1666	178
Mon Sep 17 09:31:52 2018	1537169512	998	667	1666	667
Mon Sep 17 09:34:22 2018	1537169662	408	1258	1666	1246
Mon Sep 17 09:36:14 2018	1537169774	1496	171	1666	165
Mon Sep 17 09:36:14 2018	1537169774	1496	170	1666	165
Mon Sep 17 09:36:14 2018	1537169774	1496	171	1667	165
Mon Sep 17 09:31:52 2018	1537169512	960	707	1667	706
Mon Sep 17 09:34:13 2018	1537169653	1281	386	1667	385
Mon Sep 17 09:34:13 2018	1537169653	1281	386	1667	385
Mon Sep 17 09:34:27 2018	1537169667	1590	77	1667	77
Mon Sep 17 09:36:14 2018	1537169774	1496	171	1667	166
Mon Sep 17 09:31:52 2018	1537169512	998	669	1667	666
Mon Sep 17 09:33:34 2018	1537169614	1061	606	1667	606
Mon Sep 17 09:34:13 2018	1537169653	1281	386	1668	385
Mon Sep 17 09:34:13 2018	1537169653	1282	386	1668	385
Mon Sep 17 09:34:13 2018	1537169653	1282	387	1668	385
Mon Sep 17 09:34:05 2018	1537169645	628	1040	1668	1040
Mon Sep 17 09:34:05 2018	1537169645	628	1040	1668	1040
Mon Sep 17 09:34:05 2018	1537169645	569	1099	1669	1087
Mon Sep 17 09:36:14 2018	1537169774	1496	172	1669	166
Mon Sep 17 09:36:14 2018	1537169774	1494	174	1669	170
Mon Sep 17 09:34:05 2018	1537169645	629	1040	1669	1039
Mon Sep 17 09:36:14 2018	1537169774	1496	173	1669	169
Mon Sep 17 09:34:05 2018	1537169645	629	1040	1669	1039
Mon Sep 17 09:34:13 2018	1537169653	1282	387	1669	386
Mon Sep 17 09:36:08 2018	1537169768	633	1037	1670	1036
Mon Sep 17 09:31:06 2018	1537169466	1567	103	1670	70
Mon Sep 17 09:31:48 2018	1537169508	656	1014	1671	1013
Mon Sep 17 09:35:15 2018	1537169715	1135	536	1671	535
Mon Sep 17 09:33:34 2018	1537169614	1127	544	1671	544
Mon Sep 17 09:35:44 2018	1537169744	1013	658	1671	657
Mon Sep 17 09:31:52 2018	1537169512	986	686	1672	680
Mon Sep 17 09:34:27 2018	1537169667	1601	71	1672	71
Mon Sep 17 09:31:56 2018	1537169516	1033	639	1672	633
Mon Sep 17 09:34:27 2018	1537169667	1614	58	1672	58
