starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 17 09:31:07 2018	1537169467	333	56	388	56
Mon Sep 17 09:33:31 2018	1537169611	282	138	420	135
Mon Sep 17 09:31:07 2018	1537169467	332	88	421	55
Mon Sep 17 09:34:31 2018	1537169671	339	122	461	121
Mon Sep 17 09:34:31 2018	1537169671	318	143	462	142
Mon Sep 17 09:33:22 2018	1537169602	353	109	463	109
Mon Sep 17 09:33:22 2018	1537169602	337	125	463	125
Mon Sep 17 09:34:28 2018	1537169668	368	106	475	106
Mon Sep 17 09:34:25 2018	1537169665	450	66	516	66
Mon Sep 17 09:35:33 2018	1537169733	440	86	526	77
Mon Sep 17 09:35:33 2018	1537169733	432	95	526	94
Mon Sep 17 09:33:22 2018	1537169602	460	85	545	56
Mon Sep 17 09:33:22 2018	1537169602	475	71	547	69
Mon Sep 17 09:33:22 2018	1537169602	460	87	547	85
Mon Sep 17 09:34:25 2018	1537169665	496	61	557	61
Mon Sep 17 09:32:49 2018	1537169569	341	217	558	216
Mon Sep 17 09:32:49 2018	1537169569	366	192	558	191
Mon Sep 17 09:32:49 2018	1537169569	356	203	558	202
Mon Sep 17 09:33:22 2018	1537169602	499	66	565	66
Mon Sep 17 09:33:22 2018	1537169602	516	53	570	53
Mon Sep 17 09:33:22 2018	1537169602	530	54	584	53
Mon Sep 17 09:33:22 2018	1537169602	530	55	585	53
Mon Sep 17 09:34:25 2018	1537169665	514	82	596	78
Mon Sep 17 09:34:25 2018	1537169665	540	57	597	56
Mon Sep 17 09:34:31 2018	1537169671	347	255	602	254
Mon Sep 17 09:32:55 2018	1537169575	467	166	633	154
Mon Sep 17 09:32:55 2018	1537169575	479	158	636	145
Mon Sep 17 09:34:48 2018	1537169688	479	172	650	171
Mon Sep 17 09:33:22 2018	1537169602	530	122	652	122
Mon Sep 17 09:33:22 2018	1537169602	545	108	653	107
Mon Sep 17 09:33:22 2018	1537169602	553	100	654	99
Mon Sep 17 09:33:22 2018	1537169602	560	94	654	92
Mon Sep 17 09:33:22 2018	1537169602	543	111	654	109
Mon Sep 17 09:33:22 2018	1537169602	543	111	654	110
Mon Sep 17 09:33:22 2018	1537169602	543	111	654	110
Mon Sep 17 09:32:31 2018	1537169551	598	99	697	96
Mon Sep 17 09:36:26 2018	1537169786	621	81	702	79
Mon Sep 17 09:34:24 2018	1537169664	628	75	703	72
Mon Sep 17 09:33:40 2018	1537169620	631	73	705	73
Mon Sep 17 09:32:31 2018	1537169551	586	123	709	121
Mon Sep 17 09:32:31 2018	1537169551	597	112	709	110
Mon Sep 17 09:32:31 2018	1537169551	597	113	709	110
Mon Sep 17 09:35:30 2018	1537169730	487	222	710	187
Mon Sep 17 09:33:40 2018	1537169620	631	88	719	73
Mon Sep 17 09:33:40 2018	1537169620	631	89	720	73
Mon Sep 17 09:35:28 2018	1537169728	624	100	724	99
Mon Sep 17 09:35:28 2018	1537169728	565	164	729	162
Mon Sep 17 09:35:28 2018	1537169728	552	178	730	176
Mon Sep 17 09:35:28 2018	1537169728	516	214	730	213
Mon Sep 17 09:35:09 2018	1537169709	641	95	736	92
Mon Sep 17 09:34:24 2018	1537169664	604	135	739	132
Mon Sep 17 09:33:22 2018	1537169602	569	174	743	172
Mon Sep 17 09:33:22 2018	1537169602	410	333	743	330
Mon Sep 17 09:33:22 2018	1537169602	615	128	744	126
Mon Sep 17 09:33:22 2018	1537169602	630	114	744	113
Mon Sep 17 09:33:22 2018	1537169602	616	128	744	126
Mon Sep 17 09:33:22 2018	1537169602	645	99	744	98
Mon Sep 17 09:33:22 2018	1537169602	645	99	744	97
Mon Sep 17 09:33:22 2018	1537169602	646	98	744	97
Mon Sep 17 09:35:09 2018	1537169709	667	77	745	77
Mon Sep 17 09:35:09 2018	1537169709	667	78	745	77
Mon Sep 17 09:34:24 2018	1537169664	640	105	745	104
Mon Sep 17 09:32:31 2018	1537169551	669	80	750	80
Mon Sep 17 09:34:24 2018	1537169664	640	114	754	113
Mon Sep 17 09:34:24 2018	1537169664	640	114	754	114
Mon Sep 17 09:32:31 2018	1537169551	669	86	755	86
Mon Sep 17 09:34:24 2018	1537169664	681	75	757	75
Mon Sep 17 09:32:31 2018	1537169551	669	87	757	86
Mon Sep 17 09:34:24 2018	1537169664	682	76	758	76
Mon Sep 17 09:34:24 2018	1537169664	682	77	760	77
Mon Sep 17 09:35:09 2018	1537169709	692	69	761	69
Mon Sep 17 09:32:49 2018	1537169569	378	386	763	385
Mon Sep 17 09:34:24 2018	1537169664	681	84	764	83
Mon Sep 17 09:32:23 2018	1537169543	689	76	765	75
Mon Sep 17 09:32:23 2018	1537169543	679	110	789	66
Mon Sep 17 09:34:08 2018	1537169648	503	288	791	276
Mon Sep 17 09:34:08 2018	1537169648	531	260	791	248
Mon Sep 17 09:35:09 2018	1537169709	717	75	791	75
Mon Sep 17 09:34:24 2018	1537169664	698	99	797	99
Mon Sep 17 09:32:23 2018	1537169543	689	108	797	63
Mon Sep 17 09:33:17 2018	1537169597	618	180	798	178
Mon Sep 17 09:34:24 2018	1537169664	699	110	809	108
Mon Sep 17 09:33:37 2018	1537169617	654	155	809	132
Mon Sep 17 09:34:24 2018	1537169664	733	77	810	77
Mon Sep 17 09:34:24 2018	1537169664	697	115	812	113
Mon Sep 17 09:34:24 2018	1537169664	735	81	816	79
Mon Sep 17 09:35:09 2018	1537169709	731	88	819	88
Mon Sep 17 09:35:09 2018	1537169709	717	103	820	103
Mon Sep 17 09:34:24 2018	1537169664	734	87	820	83
Mon Sep 17 09:35:09 2018	1537169709	732	89	820	89
Mon Sep 17 09:35:09 2018	1537169709	718	103	821	102
Mon Sep 17 09:35:09 2018	1537169709	719	102	821	102
Mon Sep 17 09:35:09 2018	1537169709	718	103	821	102
Mon Sep 17 09:35:09 2018	1537169709	732	90	821	90
Mon Sep 17 09:35:09 2018	1537169709	761	64	825	60
Mon Sep 17 09:35:09 2018	1537169709	744	82	825	78
Mon Sep 17 09:35:09 2018	1537169709	744	86	829	78
Mon Sep 17 09:35:28 2018	1537169728	756	85	842	85
Mon Sep 17 09:33:17 2018	1537169597	656	186	842	186
Mon Sep 17 09:33:17 2018	1537169597	625	217	843	217
Mon Sep 17 09:33:17 2018	1537169597	668	175	843	175
Mon Sep 17 09:32:23 2018	1537169543	711	136	848	115
Mon Sep 17 09:32:23 2018	1537169543	710	138	848	117
Mon Sep 17 09:32:23 2018	1537169543	710	138	848	116
Mon Sep 17 09:36:14 2018	1537169774	766	87	853	86
Mon Sep 17 09:36:14 2018	1537169774	766	88	853	87
Mon Sep 17 09:32:23 2018	1537169543	704	150	854	129
Mon Sep 17 09:36:14 2018	1537169774	766	90	856	90
Mon Sep 17 09:32:31 2018	1537169551	706	152	857	151
Mon Sep 17 09:32:55 2018	1537169575	677	184	861	170
Mon Sep 17 09:36:14 2018	1537169774	766	98	864	97
Mon Sep 17 09:35:52 2018	1537169752	500	366	866	365
Mon Sep 17 09:35:52 2018	1537169752	513	353	866	353
Mon Sep 17 09:32:31 2018	1537169551	694	183	877	151
Mon Sep 17 09:35:52 2018	1537169752	595	282	877	271
Mon Sep 17 09:35:53 2018	1537169753	614	266	880	265
Mon Sep 17 09:35:52 2018	1537169752	624	265	889	265
Mon Sep 17 09:35:09 2018	1537169709	780	110	890	109
Mon Sep 17 09:33:23 2018	1537169603	647	245	891	243
Mon Sep 17 09:34:08 2018	1537169648	789	111	900	109
Mon Sep 17 09:34:08 2018	1537169648	813	87	900	85
Mon Sep 17 09:34:08 2018	1537169648	777	124	900	121
Mon Sep 17 09:34:08 2018	1537169648	764	136	900	134
Mon Sep 17 09:36:26 2018	1537169786	825	81	906	79
Mon Sep 17 09:36:26 2018	1537169786	692	216	908	214
Mon Sep 17 09:36:09 2018	1537169769	580	329	909	329
Mon Sep 17 09:34:48 2018	1537169688	686	224	910	223
Mon Sep 17 09:36:26 2018	1537169786	695	216	911	214
Mon Sep 17 09:35:33 2018	1537169733	478	434	912	419
Mon Sep 17 09:36:26 2018	1537169786	696	216	913	214
Mon Sep 17 09:36:26 2018	1537169786	674	241	915	239
Mon Sep 17 09:36:26 2018	1537169786	846	69	915	67
Mon Sep 17 09:36:26 2018	1537169786	854	61	916	61
Mon Sep 17 09:36:26 2018	1537169786	835	81	916	79
Mon Sep 17 09:36:26 2018	1537169786	854	62	916	61
Mon Sep 17 09:36:26 2018	1537169786	843	76	919	70
Mon Sep 17 09:36:26 2018	1537169786	857	62	919	61
Mon Sep 17 09:32:55 2018	1537169575	830	90	920	87
Mon Sep 17 09:35:28 2018	1537169728	658	265	923	264
Mon Sep 17 09:35:30 2018	1537169730	600	324	923	324
Mon Sep 17 09:36:26 2018	1537169786	853	74	927	62
Mon Sep 17 09:36:14 2018	1537169774	756	172	928	72
Mon Sep 17 09:32:55 2018	1537169575	831	99	931	93
Mon Sep 17 09:36:26 2018	1537169786	857	74	931	61
Mon Sep 17 09:34:48 2018	1537169688	787	146	933	146
Mon Sep 17 09:34:48 2018	1537169688	787	147	934	147
Mon Sep 17 09:32:49 2018	1537169569	816	118	934	115
Mon Sep 17 09:34:48 2018	1537169688	799	136	935	136
Mon Sep 17 09:33:23 2018	1537169603	874	63	937	63
Mon Sep 17 09:34:08 2018	1537169648	884	53	937	53
Mon Sep 17 09:32:13 2018	1537169533	892	57	948	56
Mon Sep 17 09:33:23 2018	1537169603	862	92	954	91
Mon Sep 17 09:32:31 2018	1537169551	486	469	955	467
Mon Sep 17 09:32:31 2018	1537169551	776	180	956	178
Mon Sep 17 09:34:48 2018	1537169688	887	69	956	69
Mon Sep 17 09:32:55 2018	1537169575	858	98	956	98
Mon Sep 17 09:34:48 2018	1537169688	897	59	956	59
Mon Sep 17 09:32:31 2018	1537169551	525	431	956	429
Mon Sep 17 09:32:55 2018	1537169575	858	98	956	98
Mon Sep 17 09:33:23 2018	1537169603	874	83	957	82
Mon Sep 17 09:32:31 2018	1537169551	525	431	957	429
Mon Sep 17 09:32:31 2018	1537169551	822	135	957	132
Mon Sep 17 09:32:31 2018	1537169551	821	136	957	133
Mon Sep 17 09:32:31 2018	1537169551	821	135	957	133
Mon Sep 17 09:32:31 2018	1537169551	511	446	957	444
Mon Sep 17 09:32:31 2018	1537169551	489	468	957	445
Mon Sep 17 09:32:31 2018	1537169551	795	163	957	160
Mon Sep 17 09:32:31 2018	1537169551	822	135	957	133
Mon Sep 17 09:32:31 2018	1537169551	811	146	957	144
Mon Sep 17 09:34:48 2018	1537169688	876	82	958	81
Mon Sep 17 09:32:31 2018	1537169551	795	163	958	161
Mon Sep 17 09:32:31 2018	1537169551	500	458	958	456
Mon Sep 17 09:32:31 2018	1537169551	795	163	958	161
Mon Sep 17 09:32:31 2018	1537169551	796	163	958	161
Mon Sep 17 09:34:48 2018	1537169688	877	81	959	81
Mon Sep 17 09:34:08 2018	1537169648	853	112	965	112
Mon Sep 17 09:32:31 2018	1537169551	802	163	965	161
Mon Sep 17 09:34:48 2018	1537169688	886	80	966	61
Mon Sep 17 09:34:48 2018	1537169688	877	90	967	79
Mon Sep 17 09:34:48 2018	1537169688	897	73	970	60
Mon Sep 17 09:32:13 2018	1537169533	892	80	972	57
Mon Sep 17 09:32:23 2018	1537169543	711	261	973	261
Mon Sep 17 09:34:08 2018	1537169648	896	80	976	70
Mon Sep 17 09:32:48 2018	1537169568	895	89	983	88
Mon Sep 17 09:32:48 2018	1537169568	895	88	983	88
Mon Sep 17 09:32:48 2018	1537169568	910	74	983	73
Mon Sep 17 09:32:48 2018	1537169568	910	74	984	72
Mon Sep 17 09:32:49 2018	1537169569	895	91	986	91
Mon Sep 17 09:32:49 2018	1537169569	896	92	987	92
Mon Sep 17 09:32:49 2018	1537169569	851	137	987	137
Mon Sep 17 09:32:49 2018	1537169569	828	160	987	159
Mon Sep 17 09:35:41 2018	1537169741	730	260	990	258
Mon Sep 17 09:35:41 2018	1537169741	686	306	991	302
Mon Sep 17 09:32:07 2018	1537169527	819	173	992	158
Mon Sep 17 09:35:41 2018	1537169741	713	279	992	275
Mon Sep 17 09:33:05 2018	1537169585	449	551	1000	550
Mon Sep 17 09:33:23 2018	1537169603	921	79	1000	76
Mon Sep 17 09:33:23 2018	1537169603	921	79	1000	78
Mon Sep 17 09:33:23 2018	1537169603	892	108	1000	106
Mon Sep 17 09:33:23 2018	1537169603	908	92	1000	90
Mon Sep 17 09:33:05 2018	1537169585	501	499	1000	499
Mon Sep 17 09:33:23 2018	1537169603	893	107	1000	106
Mon Sep 17 09:33:23 2018	1537169603	800	200	1000	198
Mon Sep 17 09:33:05 2018	1537169585	475	525	1000	525
Mon Sep 17 09:33:05 2018	1537169585	475	525	1001	525
Mon Sep 17 09:33:23 2018	1537169603	863	138	1001	136
Mon Sep 17 09:33:23 2018	1537169603	786	215	1001	213
Mon Sep 17 09:33:23 2018	1537169603	893	107	1001	106
Mon Sep 17 09:33:23 2018	1537169603	786	215	1001	213
Mon Sep 17 09:32:07 2018	1537169527	892	109	1001	108
Mon Sep 17 09:33:23 2018	1537169603	774	228	1001	226
Mon Sep 17 09:33:23 2018	1537169603	757	245	1001	242
Mon Sep 17 09:33:23 2018	1537169603	725	276	1002	274
Mon Sep 17 09:33:23 2018	1537169603	290	712	1002	696
Mon Sep 17 09:33:23 2018	1537169603	774	228	1002	226
Mon Sep 17 09:32:07 2018	1537169527	892	110	1002	110
Mon Sep 17 09:33:23 2018	1537169603	758	244	1002	242
Mon Sep 17 09:33:23 2018	1537169603	774	229	1003	227
Mon Sep 17 09:32:55 2018	1537169575	902	100	1003	100
Mon Sep 17 09:32:07 2018	1537169527	817	186	1003	184
Mon Sep 17 09:33:23 2018	1537169603	917	87	1004	87
Mon Sep 17 09:32:48 2018	1537169568	816	189	1005	178
Mon Sep 17 09:32:48 2018	1537169568	828	177	1005	144
Mon Sep 17 09:32:48 2018	1537169568	853	152	1005	120
Mon Sep 17 09:32:07 2018	1537169527	808	197	1005	197
Mon Sep 17 09:36:01 2018	1537169761	881	125	1006	122
Mon Sep 17 09:32:48 2018	1537169568	875	130	1006	98
Mon Sep 17 09:36:01 2018	1537169761	881	125	1006	122
Mon Sep 17 09:36:01 2018	1537169761	533	473	1006	470
Mon Sep 17 09:36:01 2018	1537169761	899	107	1006	104
Mon Sep 17 09:36:01 2018	1537169761	881	125	1006	122
Mon Sep 17 09:36:01 2018	1537169761	900	107	1007	104
Mon Sep 17 09:36:01 2018	1537169761	900	107	1007	104
Mon Sep 17 09:36:01 2018	1537169761	899	107	1007	104
Mon Sep 17 09:34:27 2018	1537169667	944	65	1009	65
Mon Sep 17 09:35:54 2018	1537169754	891	118	1010	118
Mon Sep 17 09:35:54 2018	1537169754	892	118	1010	118
Mon Sep 17 09:32:49 2018	1537169569	917	94	1010	93
Mon Sep 17 09:35:54 2018	1537169754	892	119	1011	119
Mon Sep 17 09:32:49 2018	1537169569	938	76	1013	75
Mon Sep 17 09:34:52 2018	1537169692	757	258	1015	257
Mon Sep 17 09:34:24 2018	1537169664	497	518	1016	515
Mon Sep 17 09:34:24 2018	1537169664	854	162	1016	158
Mon Sep 17 09:34:24 2018	1537169664	781	235	1016	231
Mon Sep 17 09:34:24 2018	1537169664	766	250	1016	247
Mon Sep 17 09:34:24 2018	1537169664	881	135	1016	131
Mon Sep 17 09:34:24 2018	1537169664	828	188	1016	185
Mon Sep 17 09:34:24 2018	1537169664	828	188	1016	185
Mon Sep 17 09:33:23 2018	1537169603	920	99	1019	99
Mon Sep 17 09:32:48 2018	1537169568	908	113	1021	113
Mon Sep 17 09:32:07 2018	1537169527	892	130	1021	108
Mon Sep 17 09:32:13 2018	1537169533	935	87	1022	85
Mon Sep 17 09:32:13 2018	1537169533	920	102	1022	101
Mon Sep 17 09:32:07 2018	1537169527	790	232	1022	212
Mon Sep 17 09:32:48 2018	1537169568	910	114	1024	114
Mon Sep 17 09:32:23 2018	1537169543	698	328	1026	328
Mon Sep 17 09:32:49 2018	1537169569	917	111	1028	110
Mon Sep 17 09:32:48 2018	1537169568	910	119	1029	119
Mon Sep 17 09:32:49 2018	1537169569	952	77	1029	77
Mon Sep 17 09:32:49 2018	1537169569	951	78	1029	78
Mon Sep 17 09:32:48 2018	1537169568	909	120	1030	109
Mon Sep 17 09:33:08 2018	1537169588	708	321	1030	321
Mon Sep 17 09:34:24 2018	1537169664	812	221	1034	218
Mon Sep 17 09:33:11 2018	1537169591	405	630	1035	629
Mon Sep 17 09:32:13 2018	1537169533	922	113	1036	86
Mon Sep 17 09:35:27 2018	1537169727	800	238	1038	237
Mon Sep 17 09:35:27 2018	1537169727	824	214	1038	213
Mon Sep 17 09:35:27 2018	1537169727	801	238	1038	237
Mon Sep 17 09:35:27 2018	1537169727	801	238	1038	237
Mon Sep 17 09:35:27 2018	1537169727	825	214	1039	213
Mon Sep 17 09:32:49 2018	1537169569	967	73	1040	72
Mon Sep 17 09:32:49 2018	1537169569	953	87	1040	86
Mon Sep 17 09:32:49 2018	1537169569	953	88	1041	86
Mon Sep 17 09:32:49 2018	1537169569	967	73	1041	72
Mon Sep 17 09:32:49 2018	1537169569	976	64	1041	64
Mon Sep 17 09:32:49 2018	1537169569	966	75	1041	75
Mon Sep 17 09:35:28 2018	1537169728	658	387	1045	372
Mon Sep 17 09:35:28 2018	1537169728	659	387	1045	372
Mon Sep 17 09:32:48 2018	1537169568	909	137	1046	135
Mon Sep 17 09:32:48 2018	1537169568	909	137	1046	135
Mon Sep 17 09:34:18 2018	1537169658	689	357	1046	355
Mon Sep 17 09:35:28 2018	1537169728	652	394	1046	379
Mon Sep 17 09:32:48 2018	1537169568	910	137	1046	135
Mon Sep 17 09:35:28 2018	1537169728	645	402	1047	387
Mon Sep 17 09:32:48 2018	1537169568	909	140	1049	136
Mon Sep 17 09:32:48 2018	1537169568	920	129	1049	125
Mon Sep 17 09:33:23 2018	1537169603	983	69	1053	69
Mon Sep 17 09:33:23 2018	1537169603	983	70	1053	70
Mon Sep 17 09:32:13 2018	1537169533	967	86	1054	55
Mon Sep 17 09:32:49 2018	1537169569	994	61	1056	58
Mon Sep 17 09:36:01 2018	1537169761	674	383	1057	380
Mon Sep 17 09:36:01 2018	1537169761	933	124	1057	121
Mon Sep 17 09:36:01 2018	1537169761	933	124	1057	121
Mon Sep 17 09:36:01 2018	1537169761	933	124	1057	121
Mon Sep 17 09:36:01 2018	1537169761	933	125	1057	122
Mon Sep 17 09:32:58 2018	1537169578	648	410	1059	410
Mon Sep 17 09:32:58 2018	1537169578	648	411	1059	411
Mon Sep 17 09:33:23 2018	1537169603	983	79	1062	78
Mon Sep 17 09:33:23 2018	1537169603	983	79	1062	79
Mon Sep 17 09:35:54 2018	1537169754	891	171	1062	171
Mon Sep 17 09:33:23 2018	1537169603	984	80	1064	79
Mon Sep 17 09:35:41 2018	1537169741	758	305	1064	305
Mon Sep 17 09:35:41 2018	1537169741	759	305	1064	305
Mon Sep 17 09:33:23 2018	1537169603	984	80	1064	80
Mon Sep 17 09:35:41 2018	1537169741	758	306	1064	305
Mon Sep 17 09:32:47 2018	1537169567	944	123	1067	122
Mon Sep 17 09:33:23 2018	1537169603	891	178	1069	178
Mon Sep 17 09:33:23 2018	1537169603	983	89	1072	89
Mon Sep 17 09:32:55 2018	1537169575	902	170	1072	100
Mon Sep 17 09:36:28 2018	1537169788	416	661	1076	452
Mon Sep 17 09:32:49 2018	1537169569	870	212	1082	212
Mon Sep 17 09:32:47 2018	1537169567	1027	55	1083	55
Mon Sep 17 09:32:49 2018	1537169569	883	200	1083	199
Mon Sep 17 09:32:55 2018	1537169575	916	169	1086	155
Mon Sep 17 09:32:55 2018	1537169575	902	183	1086	169
Mon Sep 17 09:32:55 2018	1537169575	916	169	1086	155
Mon Sep 17 09:32:55 2018	1537169575	902	184	1086	169
Mon Sep 17 09:33:11 2018	1537169591	282	807	1089	803
Mon Sep 17 09:32:49 2018	1537169569	916	173	1089	173
Mon Sep 17 09:34:08 2018	1537169648	896	196	1093	196
Mon Sep 17 09:34:42 2018	1537169682	379	715	1093	713
Mon Sep 17 09:34:08 2018	1537169648	896	197	1093	197
Mon Sep 17 09:33:23 2018	1537169603	904	191	1095	190
Mon Sep 17 09:34:42 2018	1537169682	365	730	1095	728
Mon Sep 17 09:33:23 2018	1537169603	374	723	1097	707
Mon Sep 17 09:34:18 2018	1537169658	989	108	1097	107
Mon Sep 17 09:34:35 2018	1537169675	1003	94	1097	91
Mon Sep 17 09:34:35 2018	1537169675	1017	81	1097	78
Mon Sep 17 09:35:53 2018	1537169753	421	677	1098	676
Mon Sep 17 09:35:53 2018	1537169753	461	638	1098	636
Mon Sep 17 09:33:23 2018	1537169603	890	209	1100	205
Mon Sep 17 09:34:18 2018	1537169658	976	126	1102	124
Mon Sep 17 09:32:48 2018	1537169568	940	164	1104	162
Mon Sep 17 09:32:31 2018	1537169551	435	669	1104	669
Mon Sep 17 09:32:48 2018	1537169568	889	216	1104	214
Mon Sep 17 09:34:18 2018	1537169658	952	154	1106	151
Mon Sep 17 09:34:58 2018	1537169698	454	652	1106	651
Mon Sep 17 09:32:48 2018	1537169568	941	168	1108	166
Mon Sep 17 09:32:49 2018	1537169569	938	171	1109	171
Mon Sep 17 09:32:48 2018	1537169568	930	179	1110	178
Mon Sep 17 09:32:48 2018	1537169568	894	217	1111	214
Mon Sep 17 09:32:48 2018	1537169568	895	217	1112	214
Mon Sep 17 09:32:49 2018	1537169569	538	573	1112	572
Mon Sep 17 09:32:23 2018	1537169543	1029	83	1112	58
Mon Sep 17 09:33:23 2018	1537169603	911	201	1113	199
Mon Sep 17 09:33:11 2018	1537169591	460	653	1113	653
Mon Sep 17 09:34:35 2018	1537169675	1059	55	1114	54
Mon Sep 17 09:33:48 2018	1537169628	865	249	1114	246
Mon Sep 17 09:33:48 2018	1537169628	915	199	1114	195
Mon Sep 17 09:32:49 2018	1537169569	530	585	1115	584
Mon Sep 17 09:32:49 2018	1537169569	505	610	1115	609
Mon Sep 17 09:32:49 2018	1537169569	505	610	1115	609
Mon Sep 17 09:33:37 2018	1537169617	880	237	1117	235
Mon Sep 17 09:33:08 2018	1537169588	807	310	1117	309
Mon Sep 17 09:33:17 2018	1537169597	726	395	1121	394
Mon Sep 17 09:33:17 2018	1537169597	748	373	1121	372
Mon Sep 17 09:33:17 2018	1537169597	743	378	1121	377
Mon Sep 17 09:34:35 2018	1537169675	1060	62	1122	55
Mon Sep 17 09:34:18 2018	1537169658	1016	106	1122	106
Mon Sep 17 09:32:49 2018	1537169569	952	174	1126	174
Mon Sep 17 09:31:20 2018	1537169480	855	271	1126	248
Mon Sep 17 09:34:18 2018	1537169658	990	138	1128	136
Mon Sep 17 09:32:49 2018	1537169569	930	198	1128	198
Mon Sep 17 09:34:18 2018	1537169658	939	190	1129	188
Mon Sep 17 09:32:49 2018	1537169569	930	199	1129	199
Mon Sep 17 09:32:48 2018	1537169568	926	204	1130	202
Mon Sep 17 09:32:49 2018	1537169569	955	176	1131	174
Mon Sep 17 09:36:13 2018	1537169773	514	617	1131	616
Mon Sep 17 09:32:48 2018	1537169568	914	217	1132	215
Mon Sep 17 09:31:48 2018	1537169508	654	478	1132	477
Mon Sep 17 09:34:18 2018	1537169658	945	190	1135	188
Mon Sep 17 09:34:18 2018	1537169658	969	167	1136	164
Mon Sep 17 09:35:09 2018	1537169709	781	357	1137	346
Mon Sep 17 09:35:58 2018	1537169758	412	726	1138	725
Mon Sep 17 09:34:18 2018	1537169658	972	167	1139	164
Mon Sep 17 09:34:18 2018	1537169658	857	285	1142	119
Mon Sep 17 09:34:18 2018	1537169658	975	167	1142	164
Mon Sep 17 09:34:18 2018	1537169658	805	338	1142	335
Mon Sep 17 09:34:18 2018	1537169658	306	837	1142	834
Mon Sep 17 09:34:18 2018	1537169658	805	338	1143	335
Mon Sep 17 09:34:18 2018	1537169658	857	285	1143	283
Mon Sep 17 09:34:18 2018	1537169658	857	286	1143	284
Mon Sep 17 09:34:18 2018	1537169658	771	372	1143	370
Mon Sep 17 09:32:48 2018	1537169568	909	235	1145	234
Mon Sep 17 09:32:48 2018	1537169568	909	235	1145	234
Mon Sep 17 09:32:48 2018	1537169568	929	216	1145	214
Mon Sep 17 09:32:48 2018	1537169568	942	204	1146	202
Mon Sep 17 09:31:05 2018	1537169465	1085	61	1146	59
Mon Sep 17 09:32:48 2018	1537169568	942	204	1146	202
Mon Sep 17 09:32:48 2018	1537169568	942	204	1146	202
Mon Sep 17 09:32:48 2018	1537169568	942	204	1147	202
Mon Sep 17 09:32:48 2018	1537169568	908	239	1147	236
Mon Sep 17 09:33:03 2018	1537169583	965	186	1151	169
Mon Sep 17 09:35:49 2018	1537169749	464	690	1154	690
Mon Sep 17 09:32:05 2018	1537169525	934	221	1155	217
Mon Sep 17 09:32:49 2018	1537169569	465	690	1155	690
Mon Sep 17 09:32:49 2018	1537169569	245	910	1155	898
Mon Sep 17 09:32:05 2018	1537169525	1007	148	1155	87
Mon Sep 17 09:32:49 2018	1537169569	518	638	1155	637
Mon Sep 17 09:32:49 2018	1537169569	505	651	1155	650
Mon Sep 17 09:33:03 2018	1537169583	947	208	1156	191
Mon Sep 17 09:33:03 2018	1537169583	925	232	1157	215
Mon Sep 17 09:33:23 2018	1537169603	1016	145	1160	117
Mon Sep 17 09:35:17 2018	1537169717	307	857	1164	856
Mon Sep 17 09:35:17 2018	1537169717	305	859	1164	859
Mon Sep 17 09:31:05 2018	1537169465	1096	68	1164	56
Mon Sep 17 09:32:00 2018	1537169520	675	490	1164	475
Mon Sep 17 09:32:49 2018	1537169569	481	685	1167	684
Mon Sep 17 09:34:35 2018	1537169675	1100	69	1169	69
Mon Sep 17 09:34:35 2018	1537169675	1094	76	1169	75
Mon Sep 17 09:34:35 2018	1537169675	1093	78	1170	77
Mon Sep 17 09:31:49 2018	1537169509	582	589	1171	589
Mon Sep 17 09:31:49 2018	1537169509	582	590	1172	589
Mon Sep 17 09:31:49 2018	1537169509	548	626	1174	625
Mon Sep 17 09:31:49 2018	1537169509	559	615	1174	614
Mon Sep 17 09:31:49 2018	1537169509	572	603	1174	602
Mon Sep 17 09:34:35 2018	1537169675	1095	80	1175	74
Mon Sep 17 09:34:35 2018	1537169675	1094	82	1175	75
Mon Sep 17 09:34:35 2018	1537169675	1093	85	1178	76
Mon Sep 17 09:31:05 2018	1537169465	1072	107	1179	103
Mon Sep 17 09:31:05 2018	1537169465	1073	107	1179	103
Mon Sep 17 09:33:23 2018	1537169603	961	220	1181	219
Mon Sep 17 09:31:40 2018	1537169500	523	658	1181	658
Mon Sep 17 09:35:05 2018	1537169705	696	487	1183	487
Mon Sep 17 09:35:05 2018	1537169705	674	509	1183	509
Mon Sep 17 09:35:05 2018	1537169705	663	521	1184	520
Mon Sep 17 09:35:05 2018	1537169705	635	548	1184	548
Mon Sep 17 09:32:03 2018	1537169523	632	552	1185	551
Mon Sep 17 09:34:08 2018	1537169648	896	290	1186	278
Mon Sep 17 09:32:49 2018	1537169569	551	637	1188	636
Mon Sep 17 09:34:41 2018	1537169681	526	662	1189	660
Mon Sep 17 09:32:05 2018	1537169525	1058	133	1190	133
Mon Sep 17 09:32:05 2018	1537169525	1045	147	1191	145
Mon Sep 17 09:32:05 2018	1537169525	1045	147	1192	146
Mon Sep 17 09:35:43 2018	1537169743	591	602	1193	600
Mon Sep 17 09:35:49 2018	1537169749	633	567	1200	566
Mon Sep 17 09:35:49 2018	1537169749	515	687	1201	685
Mon Sep 17 09:35:51 2018	1537169751	757	444	1201	444
Mon Sep 17 09:35:51 2018	1537169751	757	444	1202	444
Mon Sep 17 09:35:51 2018	1537169751	703	498	1202	498
Mon Sep 17 09:33:23 2018	1537169603	979	222	1202	222
Mon Sep 17 09:35:51 2018	1537169751	715	487	1202	486
